CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,CD_DIST,NM_MUN,NM_DIST,Total_setores,v0001,v0002,v0003,v0004,v0005,v0006,v0007
1,Norte,11,Rondônia,1100015,110001505,Alta Floresta D'Oeste,Alta Floresta D'Oeste,34,16744,7687,7672,15,2.725595821,3.199477636,6126
1,Norte,11,Rondônia,1100015,110001515,Alta Floresta D'Oeste,Filadélfia d'Oeste,3,551,330,329,1,2.978378378,1.621621622,185
1,Norte,11,Rondônia,1100015,110001520,Alta Floresta D'Oeste,Izidolândia,5,532,319,319,0,2.972067039,,179
1,Norte,11,Rondônia,1100015,110001525,Alta Floresta D'Oeste,Nova Gease d'Oeste,19,1175,512,509,3,3.245856354,2.762430939,362
1,Norte,11,Rondônia,1100015,110001530,Alta Floresta D'Oeste,Rolim de Moura do Guaporé,6,801,458,458,0,3.166007905,1.185770751,253
1,Norte,11,Rondônia,1100015,110001535,Alta Floresta D'Oeste,Santo Antônio d'Oeste,6,1691,775,775,0,2.846801347,2.525252525,594
1,Norte,11,Rondônia,1100023,110002305,Ariquemes,Ariquemes,151,96833,44157,44114,43,2.765064397,4.381324747,34784
1,Norte,11,Rondônia,1100031,110003105,Cabixi,Cabixi,15,5351,2927,2921,6,2.720386375,4.931367565,1967
1,Norte,11,Rondônia,1100049,110004905,Cacoal,Cacoal,104,75267,34941,34916,25,2.682821119,2.86553478,27918
1,Norte,11,Rondônia,1100049,110004910,Cacoal,Riozinho,48,11350,5852,5852,0,2.896146976,0.535850982,3919
1,Norte,11,Rondônia,1100049,110004915,Cacoal,Divinópolis,2,270,137,137,0,2.872340426,,94
1,Norte,11,Rondônia,1100056,110005605,Cerejeiras,Cerejeiras,31,15890,7069,7064,5,2.689754935,3.931245745,5876
1,Norte,11,Rondônia,1100064,110006405,Colorado do Oeste,Colorado do Oeste,49,15663,8150,8146,4,2.614421632,4.473376732,5991
1,Norte,11,Rondônia,1100072,110007205,Corumbiara,Corumbiara,23,7519,3960,3920,40,2.641449683,4.644616467,2842
1,Norte,11,Rondônia,1100080,110008005,Costa Marques,Costa Marques,18,8979,3964,3953,11,3.091098748,0.625869263,2876
1,Norte,11,Rondônia,1100080,110008015,Costa Marques,Real Forte Príncipe da Beira,3,239,106,106,0,3.144736842,,76
1,Norte,11,Rondônia,1100080,110008035,Costa Marques,São Domingos do Guaporé,8,3409,1784,1782,2,2.811570248,1.818181818,1210
1,Norte,11,Rondônia,1100098,110009805,Espigão D'Oeste,Espigão D'Oeste,46,24643,10722,10708,14,2.796108772,4.93799067,8789
1,Norte,11,Rondônia,1100098,110009810,Espigão D'Oeste,Boa Vista do Pacarana,6,1602,821,820,1,2.944852941,0.551470588,544
1,Norte,11,Rondônia,1100098,110009812,Espigão D'Oeste,Novo Paraíso,3,1278,603,603,0,2.808791209,0.43956044,455
1,Norte,11,Rondônia,1100098,110009815,Espigão D'Oeste,Flor da Serra,4,891,499,499,0,2.90228013,5.863192182,307
1,Norte,11,Rondônia,1100098,110009818,Espigão D'Oeste,Nova Esperança,2,1000,528,528,0,2.631578947,2.105263158,380
1,Norte,11,Rondônia,1100106,110010605,Guajará-Mirim,Guajará-Mirim,110,35692,14633,14602,31,3.25429648,1.112030144,10881
1,Norte,11,Rondônia,1100106,110010612,Guajará-Mirim,Iata,10,1610,625,624,1,3.7475,,400
1,Norte,11,Rondônia,1100106,110010622,Guajará-Mirim,Surpresa,17,2085,696,696,0,3.911819887,,533
1,Norte,11,Rondônia,1100114,110011405,Jaru,Jaru,64,43265,20019,20009,10,2.646360954,5.083599705,16268
1,Norte,11,Rondônia,1100114,110011410,Jaru,Bom Jesus,5,1747,916,916,0,2.721183801,0.46728972,642
1,Norte,11,Rondônia,1100114,110011420,Jaru,Santa Cruz da Serra,5,904,531,531,0,2.722891566,1.506024096,332
1,Norte,11,Rondônia,1100114,110011425,Jaru,Tarilândia,15,4675,2612,2612,0,2.725947522,4.198250729,1715
1,Norte,11,Rondônia,1100122,110012205,Ji-Paraná,Ji-Paraná,198,120682,54591,54538,53,2.749307828,4.191931904,43703
1,Norte,11,Rondônia,1100122,110012220,Ji-Paraná,Nova Colina,4,1108,587,587,0,2.833759591,3.836317136,391
1,Norte,11,Rondônia,1100122,110012225,Ji-Paraná,Nova Londrina,4,2543,1388,1386,2,2.705319149,2.127659574,940
1,Norte,11,Rondônia,1100130,110013005,Machadinho D'Oeste,Machadinho D'Oeste,53,25061,12224,12210,14,2.780925823,1.472392638,8965
1,Norte,11,Rondônia,1100130,110013015,Machadinho D'Oeste,Oriente Novo,5,2054,958,958,0,2.998540146,1.313868613,685
1,Norte,11,Rondônia,1100130,110013020,Machadinho D'Oeste,Quinto BEC,5,2646,1226,1226,0,2.820895522,1.70575693,938
1,Norte,11,Rondônia,1100130,110013025,Machadinho D'Oeste,Tabajara,5,946,679,679,0,3.091503268,0.326797386,306
1,Norte,11,Rondônia,1100148,110014805,Nova Brasilândia D'Oeste,Nova Brasilândia D'Oeste,35,15679,7861,7859,2,2.70305225,1.931367477,5799
1,Norte,11,Rondônia,1100155,110015505,Ouro Preto do Oeste,Ouro Preto do Oeste,57,32633,15051,15032,19,2.608185254,4.591139342,12437
1,Norte,11,Rondônia,1100155,110015525,Ouro Preto do Oeste,Rondominas,8,2411,1372,1371,1,2.705948373,4.152637486,891
1,Norte,11,Rondônia,1100189,110018905,Pimenta Bueno,Pimenta Bueno,41,31265,14209,14192,17,2.797832957,3.738148984,11075
1,Norte,11,Rondônia,1100189,110018915,Pimenta Bueno,Marco Rondon,16,2497,1637,1632,5,2.983253589,2.631578947,836
1,Norte,11,Rondônia,1100189,110018920,Pimenta Bueno,Itaporanga,4,1317,618,618,0,2.920177384,0.22172949,451
1,Norte,11,Rondônia,1100205,110020505,Porto Velho,Porto Velho,590,412804,180942,180835,107,3.002116921,4.340787729,136519
1,Norte,11,Rondônia,1100205,110020510,Porto Velho,Abunã,6,2385,1354,1345,9,3.006313131,2.272727273,792
1,Norte,11,Rondônia,1100205,110020515,Porto Velho,Calama,10,2312,926,925,1,3.405007364,2.503681885,679
1,Norte,11,Rondônia,1100205,110020516,Porto Velho,Demarcação,13,845,396,396,0,3.393574297,,249
1,Norte,11,Rondônia,1100205,110020517,Porto Velho,Extrema,18,7171,3117,3108,9,3.110629067,5.596529284,2305
1,Norte,11,Rondônia,1100205,110020518,Porto Velho,Fortaleza do Abunã,4,474,380,347,33,2.797619048,,168
1,Norte,11,Rondônia,1100205,110020520,Porto Velho,Jaci Paraná,31,11675,6085,6059,26,2.959064327,2.618866006,3933
1,Norte,11,Rondônia,1100205,110020525,Porto Velho,Mutum Paraná,20,7509,4136,4125,11,2.922897196,0.856697819,2568
1,Norte,11,Rondônia,1100205,110020530,Porto Velho,Nazaré,3,607,329,326,3,3.025125628,0.502512563,199
1,Norte,11,Rondônia,1100205,110020535,Porto Velho,Nova Califórnia,7,5216,2097,2095,2,3.163129169,3.881140085,1649
1,Norte,11,Rondônia,1100205,110020540,Porto Velho,São Carlos,5,1176,500,497,3,3.102902375,,379
1,Norte,11,Rondônia,1100205,110020545,Porto Velho,Vista Alegre do Abunã,14,8260,3294,3278,16,3.193723363,4.184424642,2581
1,Norte,11,Rondônia,1100254,110025405,Presidente Médici,Presidente Médici,21,12150,5780,5767,13,2.642935139,5.45970736,4579
1,Norte,11,Rondônia,1100254,110025415,Presidente Médici,Estrela de Rondônia,8,1915,919,918,1,2.743553009,1.00286533,698
1,Norte,11,Rondônia,1100254,110025420,Presidente Médici,Novo Riachuelo,5,1229,658,658,0,2.626068376,0.213675214,468
1,Norte,11,Rondônia,1100254,110025425,Presidente Médici,Vila Bandeira Branca,3,1272,704,703,1,2.606557377,0.409836066,488
1,Norte,11,Rondônia,1100254,110025430,Presidente Médici,Vila Camargo,9,2761,1423,1423,0,2.761,0.6,1000
1,Norte,11,Rondônia,1100262,110026205,Rio Crespo,Rio Crespo,10,3471,1772,1766,6,2.763157895,1.754385965,1254
1,Norte,11,Rondônia,1100288,110028805,Rolim de Moura,Rolim de Moura,90,56406,25631,25604,27,2.673966863,4.699104932,21004
1,Norte,11,Rondônia,1100296,110029605,Santa Luzia D'Oeste,Santa Luzia D'Oeste,20,7419,3580,3571,9,2.679840464,2.900652647,2758
1,Norte,11,Rondônia,1100304,110030405,Vilhena,Vilhena,134,95832,42599,42575,24,2.724630232,4.068870995,35022
1,Norte,11,Rondônia,1100320,110032005,São Miguel do Guaporé,São Miguel do Guaporé,43,18952,8815,8807,8,2.731905038,2.793862189,6908
1,Norte,11,Rondônia,1100320,110032020,São Miguel do Guaporé,Santana do Guaporé,5,2683,1506,1506,0,2.743353783,0.81799591,978
1,Norte,11,Rondônia,1100338,110033805,Nova Mamoré,Nova Mamoré,20,10409,4778,4766,12,2.976824034,0.944206009,3495
1,Norte,11,Rondônia,1100338,110033810,Nova Mamoré,Araras,2,668,501,500,1,2.715447154,4.87804878,246
1,Norte,11,Rondônia,1100338,110033812,Nova Mamoré,Jacynópolis,11,4470,2017,2014,3,3.085062241,3.941908714,1446
1,Norte,11,Rondônia,1100338,110033815,Nova Mamoré,Nova Dimensão,15,6169,2932,2926,6,3.00194742,1.071080818,2054
1,Norte,11,Rondônia,1100338,110033820,Nova Mamoré,Palmeiras,16,2299,1132,1130,2,3.122282609,0.543478261,736
1,Norte,11,Rondônia,1100338,110033825,Nova Mamoré,Nova Marechal Rondon,2,1429,722,722,0,2.881048387,0.806451613,496
1,Norte,11,Rondônia,1100346,110034605,Alvorada D'Oeste,Alvorada D'Oeste,24,10414,4956,4954,2,2.714546403,2.450469239,3836
1,Norte,11,Rondônia,1100346,110034625,Alvorada D'Oeste,Tancredópolis,4,1279,594,594,0,2.709745763,1.906779661,472
1,Norte,11,Rondônia,1100346,110034630,Alvorada D'Oeste,Terra Boa,3,1424,656,656,0,2.792156863,2.745098039,510
1,Norte,11,Rondônia,1100379,110037905,Alto Alegre dos Parecis,Alto Alegre dos Parecis,28,11479,5188,5179,9,2.838861386,2.599009901,4040
1,Norte,11,Rondônia,1100403,110040305,Alto Paraíso,Alto Paraíso,32,16320,7563,7555,8,2.826719806,4.453300988,5771
1,Norte,11,Rondônia,1100452,110045205,Buritis,Buritis,40,27992,13246,13232,14,2.808339208,4.099103636,9929
1,Norte,11,Rondônia,1100502,110050205,Novo Horizonte do Oeste,Novo Horizonte do Oeste,11,4159,2089,2085,4,2.763297872,1.196808511,1504
1,Norte,11,Rondônia,1100502,110050210,Novo Horizonte do Oeste,Migrantinópolis,7,3508,1872,1870,2,2.708880309,1.467181467,1295
1,Norte,11,Rondônia,1100601,110060105,Cacaulândia,Cacaulândia,16,4150,2274,2270,4,2.796495957,0.606469003,1484
1,Norte,11,Rondônia,1100700,110070005,Campo Novo de Rondônia,Campo Novo de Rondônia,20,8844,4820,4817,3,2.875325521,0.325520833,3072
1,Norte,11,Rondônia,1100809,110080905,Candeias do Jamari,Candeias do Jamari,39,18938,9152,9146,6,3.002854877,4.044409199,6305
1,Norte,11,Rondônia,1100809,110080920,Candeias do Jamari,Rio Preto do Candeias,5,3372,1831,1828,3,2.978798587,7.067137809,1132
